Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,2023-04-19
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,2025-01-28
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,2021-03-14
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,2023-09-11
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,2024-01-31
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,2021-07-24
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000,2023-01-12
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000,2023-11-27
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,2020-05-04
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,2020-05-19
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,2023-04-10
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,2023-10-07
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,2024-12-05
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,2024-07-10
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,2024-02-29
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,2025-01-28
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,2023-02-22
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,2022-05-30
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,2021-05-26
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,2021-04-29
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,2022-04-23
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,2025-02-23
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000,2024-11-05
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,2020-02-26
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,2022-06-08
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,2020-05-23
