Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,19-04-2023
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,28-01-2025
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,14-03-2021
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,11-09-2023
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,31-01-2024
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,24-07-2021
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000,12-01-2023
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,22-01-2025
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000,27-11-2023
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,04-05-2020
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,19-05-2020
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,10-04-2023
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,07-10-2023
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,23-07-2020
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,05-12-2024
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,10-07-2024
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,29-02-2024
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,28-01-2025
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,28-04-2024
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,22-02-2023
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,30-05-2022
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,26-05-2021
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,29-04-2021
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,23-04-2022
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,23-02-2025
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000,05-11-2024
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,26-02-2020
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,08-06-2022
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,24-01-2021
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,23-05-2020
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,30-10-2021
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,08-09-2021
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,10-08-2022
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,04-08-2021
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,11-02-2021
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,13-07-2023
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,24-03-2021
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,09-08-2022
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,31-01-2025
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,03-12-2022
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,16-10-2021
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,08-11-2021
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,16-04-2024
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,23-01-2023
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,22-06-2024
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,19-09-2023
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,01-11-2021
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,16-06-2020
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,12-02-2021
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,10-08-2022
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,22-02-2020
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,28-08-2024
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,27-05-2022
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,24-08-2024
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,06-02-2024
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,13-03-2023
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,13-06-2021
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,12-04-2022
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,29-03-2021
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,07-03-2024
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,01-03-2024
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,10-12-2022
